participant_id,organization,site,recruitment_date,days_since_recruitment,planned_enrollment_date,phone,email,reminder,notes
03-CIMC-0123,ohsu,OHSU,2026-05-30,86,2026-06-07,15035550123,test.participant.123@example.org,email_reminder,Dummy scheduling note
03-CIMC-0172,ohsu,OHSU,2026-05-31,85,2026-06-12,15035550172,test.participant.172@example.org,phone_reminder,Dummy scheduling note
03-CIMC-0117,ohsu,OHSU,2026-06-17,68,2026-06-26,15035550117,test.participant.117@example.org,phone_reminder,Dummy scheduling note
03-CIMC-0226,ohsu,OHSU,2026-06-19,66,2026-06-21,15035550226,test.participant.226@example.org,email_reminder,Dummy scheduling note
03-CIMC-0110,ohsu,OHSU,2026-06-20,65,2026-06-26,15035550110,test.participant.110@example.org,phone_reminder,Dummy scheduling note
03-CIMC-0204,ohsu,OHSU,2026-07-05,50,2026-07-08,15035550204,test.participant.204@example.org,phone_reminder,Dummy scheduling note
03-CIMC-0104,ohsu,OHSU,2026-07-07,48,2026-07-17,15035550104,test.participant.104@example.org,email_reminder,Dummy scheduling note
03-CIMC-0195,ohsu,OHSU,2026-07-15,40,2026-07-23,15035550195,test.participant.195@example.org,email_reminder,Dummy scheduling note
03-CIMC-0153,ohsu,OHSU,2026-07-23,32,2026-08-05,15035550153,test.participant.153@example.org,email_reminder,Dummy scheduling note
03-CIMC-0026,ohsu,OHSU,2026-07-24,31,2026-08-07,15035550026,test.participant.026@example.org,phone_reminder,Dummy scheduling note
03-CIMC-0018,ohsu,OHSU,2026-07-28,27,2026-07-31,15035550018,test.participant.018@example.org,email_reminder,Dummy scheduling note
03-CIMC-0103,ohsu,OHSU,2026-08-05,19,2026-08-19,15035550103,test.participant.103@example.org,email_reminder,Dummy scheduling note
03-CIMC-0085,ohsu,OHSU,2026-08-07,17,2026-08-19,15035550085,test.participant.085@example.org,email_reminder,Dummy scheduling note
03-CIMC-0198,ohsu,OHSU,2026-08-12,12,2026-08-26,15035550198,test.participant.198@example.org,phone_reminder,Dummy scheduling note
