participant_id,organization,site,current_consecutive_missed_days,last_report_date,reminder_method,reminder_contact,daily_completion
01-CIMC-0125,wmru,Wits MRU,48,2026-07-07,whatsapp,19995550064,0.3409090909090909
02-CIMC-0217,profamilia,Profamilia,26,2026-07-29,whatsapp,19995550113,0.5492957746478874
02-CIMC-0159,profamilia,Profamilia,13,2026-08-11,calendar,,0.7014925373134329
03-CIMC-0178,ohsu,OHSU,10,2026-08-14,text_message_sms,,0.6382978723404256
02-CIMC-0101,profamilia,Profamilia,5,2026-08-19,calendar,,0.7741935483870968
03-CIMC-0166,ohsu,OHSU,5,2026-08-19,email,,0.7037037037037037
01-CIMC-0080,wmru,Wits MRU,4,2026-08-20,whatsapp,19995550044,0.5909090909090909
03-CIMC-0187,ohsu,OHSU,4,2026-08-20,whatsapp,,0.8309859154929577
03-CIMC-0209,ohsu,OHSU,4,2026-08-20,whatsapp,19995550109,0.5263157894736842
01-CIMC-0005,wmru,Wits MRU,3,2026-08-21,whatsapp,19995550003,0.7543859649122807
01-CIMC-0058,wmru,Wits MRU,3,2026-08-21,whatsapp,19995550033,0.7307692307692307
01-CIMC-0086,wmru,Wits MRU,3,2026-08-21,calendar,,0.8333333333333334
01-CIMC-0092,wmru,Wits MRU,3,2026-08-21,calendar,,0.76
01-CIMC-0111,wmru,Wits MRU,3,2026-08-21,whatsapp,19995550058,0.9024390243902439
01-CIMC-0115,wmru,Wits MRU,3,2026-08-21,calendar,,0.8285714285714286
01-CIMC-0145,wmru,Wits MRU,3,2026-08-21,whatsapp,19995550077,0.25
02-CIMC-0048,profamilia,Profamilia,3,2026-08-21,whatsapp,19995550030,0.7857142857142857
02-CIMC-0060,profamilia,Profamilia,3,2026-08-21,no_reminder,,0.8857142857142857
02-CIMC-0142,profamilia,Profamilia,3,2026-08-21,calendar,,0.8867924528301887
02-CIMC-0182,profamilia,Profamilia,3,2026-08-21,whatsapp,19995550094,0.5263157894736842
02-CIMC-0243,profamilia,Profamilia,3,2026-08-21,calendar,,0.5833333333333334
03-CIMC-0033,ohsu,OHSU,3,2026-08-21,whatsapp,,0.8571428571428571
03-CIMC-0042,ohsu,OHSU,3,2026-08-21,email,,0.25
03-CIMC-0202,ohsu,OHSU,3,2026-08-21,text_message_sms,19995550104,0.8313253012048193
03-CIMC-0236,ohsu,OHSU,3,2026-08-21,text_message_sms,,0.6197183098591549
03-CIMC-0237,ohsu,OHSU,3,2026-08-21,whatsapp,,0.8181818181818182
03-CIMC-0259,ohsu,OHSU,3,2026-08-21,email,,0.5
