participant_id,organization,site,current_consecutive_missed_days,last_report_date,reminder_method,reminder_contact,daily_completion
03-CIMC-0178,ohsu,OHSU,10,2026-08-14,text_message_sms,,0.6382978723404256
03-CIMC-0166,ohsu,OHSU,5,2026-08-19,email,,0.7037037037037037
03-CIMC-0187,ohsu,OHSU,4,2026-08-20,whatsapp,,0.8309859154929577
03-CIMC-0209,ohsu,OHSU,4,2026-08-20,whatsapp,19995550109,0.5263157894736842
03-CIMC-0033,ohsu,OHSU,3,2026-08-21,whatsapp,,0.8571428571428571
03-CIMC-0042,ohsu,OHSU,3,2026-08-21,email,,0.25
03-CIMC-0202,ohsu,OHSU,3,2026-08-21,text_message_sms,19995550104,0.8313253012048193
03-CIMC-0236,ohsu,OHSU,3,2026-08-21,text_message_sms,,0.6197183098591549
03-CIMC-0237,ohsu,OHSU,3,2026-08-21,whatsapp,,0.8181818181818182
03-CIMC-0259,ohsu,OHSU,3,2026-08-21,email,,0.5
